lat,lon,country
59.12,9.4,Norway
59.12,9.48,Norway
59.12,9.57,Norway
59.12,9.65,Norway
59.12,9.74,Norway
59.12,9.82,Norway
59.12,9.91,Norway
59.12,9.99,Norway
59.12,10.08,Norway
59.12,10.16,Norway
59.12,10.25,Norway
59.12,10.33,Norway
59.12,10.42,Norway
59.12,10.76,Norway
59.12,10.84,Norway
59.12,10.93,Norway
59.12,11.01,Norway
59.12,11.1,Norway
59.12,11.18,Norway
59.12,11.27,Norway
59.12,11.35,Norway
59.12,11.44,Norway
59.12,11.52,Norway
59.12,11.61,Norway
59.12,11.69,Norway
59.12,11.78,Norway
59.16,5.23,Norway
59.16,5.4,Norway
59.16,5.74,Norway
59.16,5.83,Norway
59.16,5.91,Norway
59.16,6.0,Norway
59.16,6.08,Norway
59.16,6.17,Norway
59.16,6.25,Norway
59.16,6.34,Norway
59.16,6.42,Norway
59.16,6.51,Norway
59.16,6.59,Norway
59.16,6.68,Norway
59.16,6.76,Norway
59.16,6.85,Norway
59.16,6.93,Norway
59.16,7.02,Norway
59.16,7.1,Norway
59.16,7.19,Norway
59.16,7.27,Norway
59.16,7.36,Norway
59.16,7.44,Norway
59.16,7.53,Norway
59.16,7.61,Norway
59.16,7.7,Norway
59.16,7.78,Norway
59.16,7.87,Norway
59.16,7.95,Norway
59.16,8.04,Norway
59.16,8.12,Norway
59.16,8.21,Norway
59.16,8.29,Norway
59.16,8.38,Norway
59.16,8.46,Norway
59.16,8.55,Norway
59.16,8.63,Norway
59.16,8.72,Norway
59.16,8.8,Norway
59.16,8.89,Norway
59.16,8.97,Norway
59.16,9.06,Norway
59.16,9.14,Norway
59.16,9.23,Norway
59.16,9.31,Norway
59.16,9.4,Norway
59.16,9.48,Norway
59.16,9.57,Norway
59.16,9.65,Norway
59.16,9.74,Norway
59.16,9.82,Norway
59.16,9.91,Norway
